Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml),Dietary_Tags,Season,Cooking_Method,Portion_Size
Greek Yogurt with Vegetables (Extra Large portion),Dairy,122,19.1,6.6,2.4,0.8,2.2,79,53,Breakfast,500,"low-carb,gluten-free",Summer,Roasted,Extra Large
Tuna Salad Extra Protein (Standard portion),Meal/Fish,197,20.9,2,12.4,0.4,0.5,723,166,Lunch,400,"high-protein,low-carb,gluten-free",Fall,Boiled,Standard
Oatmeal with Cheese (Standard portion),Grain,81,2.8,13.9,1.6,2.4,6.6,267,0,Breakfast,250,gluten-free,Summer,Boiled,Standard
Spaghetti Bolognese Mexican Style (Standard portion),Meal/Pasta,464,21.9,50.8,17.8,7.9,23.9,414,0,Dinner,500,"high-protein,gluten-free",Winter,Raw,Standard
Stir Fry Tofu Low-Carb (Extra Large portion),Meal/Vegetarian,614,29,51.5,33.5,13,11.4,370,0,Dinner,350,"high-protein,vegetarian,vegan",Fall,Boiled,Extra Large
Chicken Breast Mexican Style (Standard portion),Protein/Meat,194,34.4,0,4.4,0,0,111,176,Dinner,400,"high-protein,low-carb,gluten-free",Summer,Boiled,Standard
Whole Wheat Toast Spicy (Small portion),Grain,51,2.6,10,0.7,1.4,2,22,0,Breakfast,500,gluten-free,All Year,Raw,Small
Stir Fry Tofu (Extra Large portion),Meal/Vegetarian,687,28.8,44.4,33.2,9.8,16.6,424,0,Dinner,400,"high-protein,vegetarian,vegan",All Year,Baked,Extra Large
Lentil Soup with Avocado (Small portion),Meal/Legume,170,11.1,25.9,2.1,6.9,10.8,457,0,Lunch,300,gluten-free,Summer,Roasted,Small
Turkey Sandwich with Avocado (Extra Large portion),Meal/Processed,545,33.9,53.4,21.1,14.3,22.4,791,87,Lunch,400,"high-protein,gluten-free",Spring,Raw,Extra Large
Beef Steak Asian Style (Standard portion),Protein/Meat,276,45.1,0,9.3,0,0,124,114,Dinner,350,"high-protein,low-carb,gluten-free",Summer,Pan-fried,Standard
Oatmeal with Vegetables (Standard portion),Grain,80,3,12.9,1.5,3.2,5.9,169,0,Breakfast,300,gluten-free,Fall,Steamed,Standard
Almonds Light (Large portion),Nut,228,8.5,7.8,16.8,2.2,3.7,208,0,Snack,250,"low-carb,gluten-free",Winter,Pan-fried,Large
Chicken Breast with Cheese (Extra Large portion),Protein/Meat,302,51.6,0,6.6,0,0,237,83,Dinner,400,"high-protein,low-carb,gluten-free",Winter,Boiled,Extra Large
Grilled Chicken Salad Mediterranean Style (Standard portion),Meal/Protein,371,30.3,10,20.8,2.3,3.5,520,25,Lunch,250,"high-protein,gluten-free",Winter,Baked,Standard
Banana with Avocado (Small portion),Fruit,72,0.9,18.4,0.3,5.1,7.5,179,0,Breakfast,500,gluten-free,Summer,Raw,Small
Avocado Toast with Cheese (Small portion),Meal/Vegetarian,182,4.5,19.2,10,5.6,4.8,662,0,Breakfast,300,"vegetarian,gluten-free",Winter,Baked,Small
Hummus with Avocado (Extra Large portion),Legume,101,3,6.2,8.7,1,1.6,173,0,Snack,250,"low-carb,gluten-free",Winter,Grilled,Extra Large
Turkey Sandwich Asian Style (Extra Large portion),Meal/Processed,558,34.2,57.3,19.5,12.7,22.7,580,85,Lunch,350,"high-protein,gluten-free",Spring,Roasted,Extra Large
Chicken Breast Mediterranean Style (Standard portion),Protein/Meat,179,35.8,0,4.1,0,0,59,131,Dinner,400,"high-protein,low-carb,gluten-free",All Year,Pan-fried,Standard
Veggie Burger Italian Style (Extra Large portion),Protein/Vegetarian,191,17.5,16.1,6.2,3.8,7.2,124,0,Lunch,400,"vegetarian,vegan,gluten-free",Winter,Steamed,Extra Large
Salmon with Vegetables (Extra Large portion),Protein/Fish,395,42.4,0,22.8,0,0,187,134,Dinner,350,"high-protein,low-carb,gluten-free",Summer,Boiled,Extra Large
Greek Yogurt High-Fiber (Large portion),Dairy,104,17.6,5.6,1.8,0.8,2.2,122,176,Breakfast,300,"low-carb,gluten-free",Fall,Boiled,Large
Salmon with Vegetables (Small portion),Protein/Fish,168,18.9,0,9.4,0,0,62,126,Dinner,400,"low-carb,gluten-free",Summer,Boiled,Small
Banana Mexican Style (Small portion),Fruit,79,1,17.2,0.3,4,7.4,90,0,Breakfast,400,gluten-free,Summer,Raw,Small
Vegetable Curry with Cheese (Extra Large portion),Meal/Vegetable,542,15.2,61.2,25.7,17.1,27.1,208,0,Dinner,400,gluten-free,Spring,Steamed,Extra Large
Almonds Asian Style (Standard portion),Nut,148,5.8,5.8,13.8,1.1,1.7,37,0,Snack,100,"low-carb,gluten-free",Fall,Baked,Standard
Grilled Chicken Salad with Cheese (Large portion),Meal/Protein,472,39.8,12.9,26.4,3.8,6.3,345,194,Lunch,300,"high-protein,gluten-free",Fall,Steamed,Large
Chicken Breast Asian Style (Standard portion),Protein/Meat,176,36.4,0,4,0,0,50,57,Dinner,250,"high-protein,low-carb,gluten-free",Summer,Roasted,Standard
Almonds with Avocado (Extra Large portion),Nut,239,10.3,9.1,24.6,2.4,2,134,0,Snack,200,"low-carb,gluten-free",All Year,Steamed,Extra Large
Protein Shake Mexican Style (Large portion),Supplement,168,33.8,4.2,1.4,0.7,1.7,22,0,Breakfast,350,"high-protein,low-carb,gluten-free",Winter,Boiled,Large
Tuna Salad Italian Style (Large portion),Meal/Fish,228,25,2.7,15.1,0.3,0.7,493,169,Lunch,300,"high-protein,low-carb,gluten-free",All Year,Boiled,Large
Almonds High-Fiber (Small portion),Nut,123,4,4.5,10.4,1.2,1.7,285,0,Snack,200,"low-carb,gluten-free",Summer,Raw,Small
Grilled Chicken Salad High-Fiber (Standard portion),Meal/Protein,352,31.6,10.4,18.9,2.4,2.7,299,189,Lunch,500,"high-protein,gluten-free",Winter,Pan-fried,Standard
Veggie Burger Low-Carb (Extra Large portion),Protein/Vegetarian,195,19.2,17.1,7,1.8,3.5,185,0,Lunch,500,"vegetarian,vegan,gluten-free",Summer,Roasted,Extra Large
Chicken Breast (Large portion),Protein/Meat,219,46.3,0,5,0,0,269,38,Dinner,300,"high-protein,low-carb,gluten-free",Fall,Boiled,Large
Vegetable Curry Low-Carb (Small portion),Meal/Vegetable,229,6.4,30.6,10.1,3.2,13.2,610,0,Dinner,300,gluten-free,All Year,Boiled,Small
Avocado Toast Italian Style (Small portion),Meal/Vegetarian,195,5.4,20,9.6,5.7,9.7,277,0,Breakfast,300,"vegetarian,gluten-free",Winter,Boiled,Small
Oatmeal High-Fiber (Extra Large portion),Grain,123,4.3,22.3,2.4,6.3,7.5,222,0,Breakfast,250,gluten-free,Winter,Pan-fried,Extra Large
Tuna Salad Light (Large portion),Meal/Fish,233,23.3,2.4,15.2,0.6,0.6,216,112,Lunch,350,"high-protein,low-carb,gluten-free",Spring,Grilled,Large
Hummus with Avocado (Large portion),Legume,94,2.4,5,6.1,1.1,1.6,154,0,Snack,150,"low-carb,gluten-free",Spring,Raw,Large
Greek Yogurt Light (Large portion),Dairy,102,16.4,5.4,1.9,1.5,2.4,279,159,Breakfast,300,"low-carb,gluten-free",Spring,Raw,Large
Grilled Chicken Salad Light (Large portion),Meal/Protein,472,39.5,12,26.1,2.4,4,475,33,Lunch,500,"high-protein,gluten-free",Winter,Grilled,Large
Quinoa Bowl Spicy (Standard portion),Meal/Grain,397,15.4,59.6,12.5,14.6,27.7,654,0,Lunch,350,gluten-free,Winter,Steamed,Standard
Grilled Chicken Salad Mexican Style (Small portion),Meal/Protein,259,21.9,6.7,12.7,1.2,2.4,327,173,Lunch,300,"high-protein,low-carb,gluten-free",Winter,Grilled,Small
Salmon with Vegetables (Small portion),Protein/Fish,145,16.5,0,9.9,0,0,295,42,Dinner,400,"low-carb,gluten-free",Winter,Grilled,Small
Beef Steak Extra Protein (Small portion),Protein/Meat,188,27.6,0,6.3,0,0,288,185,Dinner,400,"high-protein,low-carb,gluten-free",All Year,Boiled,Small
Greek Yogurt Mediterranean Style (Extra Large portion),Dairy,115,19.8,6.4,2.5,1.6,2.8,18,143,Breakfast,300,"low-carb,gluten-free",All Year,Raw,Extra Large
Banana Mexican Style (Large portion),Fruit,148,1.7,34.3,0.6,10,11.1,108,0,Breakfast,400,gluten-free,Summer,Boiled,Large
Whole Wheat Toast Extra Protein (Large portion),Grain,103,5.6,19.2,1.3,4.8,8.7,7,0,Breakfast,500,gluten-free,Spring,Baked,Large
Banana Italian Style (Small portion),Fruit,73,1,18.6,0.3,2,6.6,168,0,Breakfast,300,gluten-free,Summer,Grilled,Small
Tuna Salad Mexican Style (Standard portion),Meal/Fish,186,19.5,1.8,11.8,0.2,0.4,278,110,Lunch,500,"low-carb,gluten-free",All Year,Grilled,Standard
Hummus Extra Protein (Extra Large portion),Legume,115,3.2,5.8,7.7,1.3,2.5,286,0,Snack,200,"low-carb,gluten-free",All Year,Raw,Extra Large
Veggie Burger Mediterranean Style (Small portion),Protein/Vegetarian,83,8.1,7.6,3.1,1.5,3.5,145,0,Lunch,500,"low-carb,vegetarian,vegan",Spring,Pan-fried,Small
Spaghetti Bolognese with Vegetables (Large portion),Meal/Pasta,652,24.8,67.5,22,14.1,30.5,274,0,Dinner,400,"high-protein,gluten-free",Winter,Baked,Large
Protein Shake Asian Style (Small portion),Supplement,90,17.7,2.2,0.6,0.3,0.5,109,0,Breakfast,300,"low-carb,gluten-free",Summer,Grilled,Small
Apple High-Fiber (Large portion),Fruit,116,0.6,31.1,0.4,8.5,7.7,202,0,Snack,150,gluten-free,Winter,Grilled,Large
Avocado Toast Asian Style (Standard portion),Meal/Vegetarian,244,7.6,27.3,15.4,7.6,10.2,274,0,Breakfast,250,"vegetarian,gluten-free",Winter,Roasted,Standard
Avocado Toast with Cheese (Large portion),Meal/Vegetarian,322,8.3,34,18.2,9.1,14.7,319,0,Breakfast,300,"vegetarian,gluten-free",Spring,Baked,Large
Cottage Cheese with Cheese (Large portion),Dairy,124,15.7,6.8,3.6,1.7,2.5,113,187,Snack,150,"low-carb,gluten-free",Fall,Pan-fried,Large
Quinoa Bowl Light (Standard portion),Meal/Grain,374,14.5,53.8,12.3,14.9,16.4,243,0,Lunch,300,gluten-free,Winter,Baked,Standard
Avocado Toast Spicy (Extra Large portion),Meal/Vegetarian,408,11.6,45.8,25.5,13.4,10,738,0,Breakfast,400,"vegetarian,gluten-free",Fall,Pan-fried,Extra Large
Grilled Chicken Salad with Avocado (Large portion),Meal/Protein,496,37.5,13.2,26.7,3.9,4.5,316,151,Lunch,350,"high-protein,gluten-free",All Year,Pan-fried,Large
Hummus (Standard portion),Legume,63,1.9,3.6,4.6,0.4,1.4,184,0,Snack,200,"low-carb,gluten-free",All Year,Baked,Standard
Spaghetti Bolognese High-Fiber (Extra Large portion),Meal/Pasta,732,33.6,85.7,29.4,22.2,33.7,559,0,Dinner,300,"high-protein,gluten-free",Summer,Grilled,Extra Large
Stir Fry Tofu Light (Extra Large portion),Meal/Vegetarian,628,29.8,50.7,36.1,11.1,12.1,270,0,Dinner,350,"high-protein,vegetarian,vegan",Winter,Roasted,Extra Large
Veggie Burger Mexican Style (Small portion),Protein/Vegetarian,78,8.1,7.5,2.7,1.9,3.6,61,0,Lunch,500,"low-carb,vegetarian,vegan",All Year,Boiled,Small
Turkey Sandwich Italian Style (Extra Large portion),Meal/Processed,590,36.9,54.2,17.3,11.4,16.1,963,153,Lunch,250,"high-protein,gluten-free",Spring,Roasted,Extra Large
Oatmeal Light (Small portion),Grain,54,2,8.9,1.1,1.8,2.2,213,0,Breakfast,350,"low-carb,gluten-free",Summer,Roasted,Small
Oatmeal Mexican Style (Small portion),Grain,53,2.3,9.5,1.1,1,3.9,298,0,Breakfast,350,"low-carb,gluten-free",All Year,Raw,Small
Chicken Breast Light (Standard portion),Protein/Meat,177,38.3,0,4.4,0,0,22,194,Dinner,500,"high-protein,low-carb,gluten-free",Summer,Grilled,Standard
Whole Wheat Toast High-Fiber (Small portion),Grain,56,3,9.7,0.6,2.3,3.5,252,0,Breakfast,250,"low-carb,gluten-free",Spring,Roasted,Small
Banana Extra Protein (Extra Large portion),Fruit,163,2.1,46.2,0.7,11.3,9.7,112,0,Breakfast,400,gluten-free,All Year,Pan-fried,Extra Large
Scrambled Eggs Mexican Style (Large portion),Protein/Dairy,121,7.8,1.4,9.1,0.4,0.4,296,44,Breakfast,300,"low-carb,gluten-free",Spring,Grilled,Large
Scrambled Eggs Light (Extra Large portion),Protein/Dairy,158,9.4,1.5,11.3,0.4,0.3,119,166,Breakfast,300,"low-carb,gluten-free",Fall,Steamed,Extra Large
Spaghetti Bolognese High-Fiber (Extra Large portion),Meal/Pasta,720,33,92.3,26.8,10.7,25.1,622,0,Dinner,500,"high-protein,gluten-free",Winter,Pan-fried,Extra Large
Protein Shake Asian Style (Small portion),Supplement,76,17.7,2,0.7,0.3,1,98,0,Breakfast,500,"low-carb,gluten-free",All Year,Grilled,Small
Oatmeal with Cheese (Large portion),Grain,103,4,18.4,1.9,2.8,5.2,161,0,Breakfast,500,gluten-free,All Year,Steamed,Large
Avocado Toast Mediterranean Style (Small portion),Meal/Vegetarian,195,4.7,21.2,10.2,4.2,10.5,444,0,Breakfast,350,"vegetarian,gluten-free",Spring,Roasted,Small
Banana with Cheese (Extra Large portion),Fruit,172,2.1,45.7,0.6,6.3,16.3,198,0,Breakfast,400,gluten-free,Summer,Raw,Extra Large
Turkey Sandwich Mexican Style (Small portion),Meal/Processed,218,14.9,23.5,9,3.2,8,729,21,Lunch,350,gluten-free,All Year,Baked,Small
Almonds Mediterranean Style (Extra Large portion),Nut,272,10.4,8.8,22.4,1.9,2.3,165,0,Snack,200,"low-carb,gluten-free",Spring,Grilled,Extra Large
Almonds Spicy (Small portion),Nut,126,4.1,3.9,10,0.5,1.1,224,0,Snack,250,"low-carb,gluten-free",Summer,Raw,Small
Salmon High-Fiber (Large portion),Protein/Fish,320,30.2,0,19.4,0,0,273,170,Dinner,300,"high-protein,low-carb,gluten-free",Summer,Raw,Large
Salmon Low-Carb (Standard portion),Protein/Fish,234,22.9,0,14.9,0,0,176,139,Dinner,400,"high-protein,low-carb,gluten-free",Winter,Pan-fried,Standard
Apple Mexican Style (Extra Large portion),Fruit,154,0.8,36,0.5,5.6,9.3,209,0,Snack,0,gluten-free,Summer,Roasted,Extra Large
Spaghetti Bolognese (Small portion),Meal/Pasta,296,14.8,37,11.6,10.3,9.6,391,0,Dinner,250,gluten-free,Winter,Raw,Small
Avocado Toast Low-Carb (Extra Large portion),Meal/Vegetarian,394,10.3,47.5,25.3,12.1,9.7,675,0,Breakfast,250,"vegetarian,gluten-free",Spring,Baked,Extra Large
Quinoa Bowl Asian Style (Standard portion),Meal/Grain,410,13.6,57.7,11.2,12.7,22.8,767,0,Lunch,400,gluten-free,Summer,Baked,Standard
Cottage Cheese Mexican Style (Large portion),Dairy,108,17,6.6,4.1,0.7,2.8,228,169,Snack,200,"low-carb,gluten-free",Winter,Roasted,Large
Scrambled Eggs Extra Protein (Large portion),Protein/Dairy,123,8.5,1.3,9,0.1,0.6,77,181,Breakfast,400,"low-carb,gluten-free",Spring,Steamed,Large
Vegetable Curry with Cheese (Small portion),Meal/Vegetable,240,6.4,28.6,10.4,3.3,5.9,726,0,Dinner,400,gluten-free,Fall,Raw,Small
Banana Asian Style (Standard portion),Fruit,99,1.2,26,0.4,4.6,12.3,139,0,Breakfast,500,gluten-free,Summer,Boiled,Standard
Salmon Spicy (Extra Large portion),Protein/Fish,380,43.1,0,22.3,0,0,9,113,Dinner,250,"high-protein,low-carb,gluten-free",Spring,Boiled,Extra Large
Banana Mediterranean Style (Small portion),Fruit,75,1,19,0.3,3.2,8.6,17,0,Breakfast,250,gluten-free,Winter,Roasted,Small
Hummus Mediterranean Style (Large portion),Legume,89,2.5,5.5,6,0.7,2.4,282,0,Snack,0,"low-carb,gluten-free",Spring,Pan-fried,Large
Avocado Toast Spicy (Small portion),Meal/Vegetarian,196,4.5,21.1,10.2,4.4,8.7,374,0,Breakfast,400,"vegetarian,gluten-free",Winter,Roasted,Small
Turkey Sandwich Mediterranean Style (Extra Large portion),Meal/Processed,592,37.8,52.9,17.9,10.1,21.3,512,88,Lunch,300,"high-protein,gluten-free",Summer,Pan-fried,Extra Large
Vegetable Curry (Large portion),Meal/Vegetable,456,13.8,52.6,20.3,8.6,24.5,597,0,Dinner,250,gluten-free,Winter,Boiled,Large
Cottage Cheese Spicy (Extra Large portion),Dairy,152,21.1,7.9,5,1.8,2.4,94,55,Snack,100,"high-protein,low-carb,gluten-free",Winter,Raw,Extra Large
Whole Wheat Toast with Cheese (Standard portion),Grain,77,4.2,12.6,1,3.5,3,90,0,Breakfast,300,gluten-free,All Year,Baked,Standard
Almonds Low-Carb (Large portion),Nut,225,7.6,7.7,19.8,1.1,2.5,247,0,Snack,200,"low-carb,gluten-free",Summer,Pan-fried,Large
Tuna Salad with Avocado (Large portion),Meal/Fish,230,26.6,2.6,16.1,0.3,0.6,204,79,Lunch,350,"high-protein,low-carb,gluten-free",All Year,Steamed,Large
Vegetable Curry Mediterranean Style (Standard portion),Meal/Vegetable,302,10,36.8,16.2,5.3,9,225,0,Dinner,400,gluten-free,All Year,Boiled,Standard
Salmon Extra Protein (Standard portion),Protein/Fish,237,26.3,0,13.9,0,0,294,81,Dinner,250,"high-protein,low-carb,gluten-free",Summer,Pan-fried,Standard
Apple Mediterranean Style (Large portion),Fruit,121,0.6,33.7,0.4,8.2,10.2,198,0,Snack,250,gluten-free,Winter,Roasted,Large
Beef Steak with Vegetables (Large portion),Protein/Meat,347,56.1,0,13.6,0,0,66,67,Dinner,350,"high-protein,low-carb,gluten-free",Spring,Raw,Large
Beef Steak with Cheese (Extra Large portion),Protein/Meat,396,70.6,0,16.3,0,0,4,133,Dinner,250,"high-protein,low-carb,gluten-free",Winter,Baked,Extra Large
Oatmeal Italian Style (Standard portion),Grain,83,3,15.1,1.4,3.8,4.2,286,0,Breakfast,400,gluten-free,Summer,Steamed,Standard
Quinoa Bowl (Small portion),Meal/Grain,306,9.9,38.3,9.2,7.3,14.1,268,0,Lunch,250,gluten-free,Fall,Pan-fried,Small
Scrambled Eggs Low-Carb (Small portion),Protein/Dairy,58,4.6,0.6,4.7,0.2,0.2,78,31,Breakfast,400,"low-carb,gluten-free",Winter,Baked,Small
Lentil Soup (Small portion),Meal/Legume,164,9.5,22.2,2.2,6.6,10.2,344,0,Lunch,300,gluten-free,Spring,Roasted,Small
Turkey Sandwich Asian Style (Large portion),Meal/Processed,445,26.9,47.7,16.6,8.6,10.3,502,161,Lunch,350,"high-protein,gluten-free",All Year,Boiled,Large
Avocado Toast Light (Standard portion),Meal/Vegetarian,264,7,26.4,14.9,7.5,9.8,411,0,Breakfast,300,"vegetarian,gluten-free",Fall,Raw,Standard
Spaghetti Bolognese (Extra Large portion),Meal/Pasta,775,34.4,92.8,27.7,12.4,43.5,494,0,Dinner,400,"high-protein,gluten-free",Spring,Steamed,Extra Large
Quinoa Bowl with Avocado (Large portion),Meal/Grain,539,18.3,65.4,14.5,19.3,13.4,253,0,Lunch,300,gluten-free,All Year,Raw,Large
Beef Steak with Vegetables (Extra Large portion),Protein/Meat,466,66.3,0,16.5,0,0,82,57,Dinner,250,"high-protein,low-carb,gluten-free",Fall,Roasted,Extra Large
Oatmeal Light (Large portion),Grain,98,3.7,18.3,1.9,4.5,7.5,236,0,Breakfast,350,gluten-free,All Year,Pan-fried,Large
Vegetable Curry Low-Carb (Small portion),Meal/Vegetable,243,7.2,28,10.6,8.1,8.3,347,0,Dinner,400,gluten-free,All Year,Raw,Small
Greek Yogurt Mediterranean Style (Extra Large portion),Dairy,126,19.6,7,2.6,1.7,2.9,12,124,Breakfast,350,"low-carb,gluten-free",Winter,Pan-fried,Extra Large
Almonds Low-Carb (Large portion),Nut,202,7.1,8.5,18.8,1.2,2.1,135,0,Snack,100,"low-carb,gluten-free",Fall,Boiled,Large
Hummus with Avocado (Standard portion),Legume,65,2.1,3.9,4.7,0.5,1.7,264,0,Snack,0,"low-carb,gluten-free",Summer,Baked,Standard
Turkey Sandwich Spicy (Standard portion),Meal/Processed,355,22.6,35.9,11.4,5.1,13.1,831,100,Lunch,350,"high-protein,gluten-free",All Year,Pan-fried,Standard
Beef Steak with Cheese (Large portion),Protein/Meat,317,53.7,0,14.2,0,0,56,110,Dinner,500,"high-protein,low-carb,gluten-free",All Year,Baked,Large
Apple Extra Protein (Large portion),Fruit,134,0.7,32.8,0.4,6.2,10.7,268,0,Snack,0,gluten-free,Fall,Pan-fried,Large
Whole Wheat Toast with Cheese (Small portion),Grain,61,2.7,8.9,0.8,0.9,4.3,151,0,Breakfast,300,"low-carb,gluten-free",Spring,Steamed,Small
Protein Shake Asian Style (Large portion),Supplement,156,29.6,4.3,1.3,0.9,1.8,185,0,Breakfast,250,"high-protein,low-carb,gluten-free",All Year,Grilled,Large
Scrambled Eggs Spicy (Extra Large portion),Protein/Dairy,135,10.4,1.5,11.8,0.2,0.3,44,34,Breakfast,400,"low-carb,gluten-free",Fall,Boiled,Extra Large
Hummus Extra Protein (Extra Large portion),Legume,103,3.3,6.4,7.8,1,2.6,99,0,Snack,250,"low-carb,gluten-free",Fall,Boiled,Extra Large
Whole Wheat Toast Low-Carb (Small portion),Grain,55,2.8,9.5,0.7,2,3,123,0,Breakfast,300,"low-carb,gluten-free",Spring,Baked,Small
Apple Low-Carb (Standard portion),Fruit,101,0.5,22.7,0.3,3.7,7.8,258,0,Snack,150,gluten-free,All Year,Pan-fried,Standard
Hummus Italian Style (Extra Large portion),Legume,121,3.5,6,8,1,2.8,148,0,Snack,150,"low-carb,gluten-free",Winter,Grilled,Extra Large
Lentil Soup Italian Style (Large portion),Meal/Legume,310,21,41.6,4.2,7.7,19.8,215,0,Lunch,300,"high-protein,gluten-free",All Year,Pan-fried,Large
Scrambled Eggs with Avocado (Standard portion),Protein/Dairy,92,5.6,1,7,0.3,0.3,79,195,Breakfast,350,"low-carb,gluten-free",Fall,Raw,Standard
Chicken Breast Spicy (Standard portion),Protein/Meat,186,34.9,0,4.4,0,0,102,60,Dinner,400,"high-protein,low-carb,gluten-free",Winter,Roasted,Standard
Apple Mexican Style (Small portion),Fruit,69,0.4,17.1,0.2,4,3.7,1,0,Snack,250,gluten-free,Summer,Baked,Small
Spaghetti Bolognese Low-Carb (Large portion),Meal/Pasta,653,23.5,64.5,24.1,14.2,18.6,346,0,Dinner,500,"high-protein,gluten-free",Summer,Raw,Large
Apple Spicy (Standard portion),Fruit,100,0.5,25,0.3,6.7,7.9,12,0,Snack,200,gluten-free,Summer,Pan-fried,Standard
Salmon Spicy (Standard portion),Protein/Fish,221,26.3,0,15.2,0,0,287,66,Dinner,250,"high-protein,low-carb,gluten-free",Summer,Grilled,Standard
Whole Wheat Toast Extra Protein (Extra Large portion),Grain,121,5.9,21.6,1.5,2.8,4.5,188,0,Breakfast,350,gluten-free,Fall,Steamed,Extra Large
Whole Wheat Toast Asian Style (Standard portion),Grain,80,3.8,12.8,1,3,2.7,177,0,Breakfast,250,gluten-free,Summer,Boiled,Standard
Salmon (Small portion),Protein/Fish,162,18.3,0,10,0,0,188,88,Dinner,400,"low-carb,gluten-free",Winter,Raw,Small
Veggie Burger with Vegetables (Small portion),Protein/Vegetarian,86,7.3,7.5,2.6,1.5,1.6,103,0,Lunch,300,"low-carb,vegetarian,vegan",Spring,Roasted,Small
Tuna Salad Mexican Style (Standard portion),Meal/Fish,190,19,1.8,12.2,0.4,0.6,635,68,Lunch,350,"low-carb,gluten-free",Summer,Pan-fried,Standard
Protein Bar Light (Extra Large portion),Supplement/Processed,325,30.8,32.8,10.7,5.8,8.7,1072,0,Snack,100,"high-protein,gluten-free",Winter,Raw,Extra Large
Salmon (Large portion),Protein/Fish,328,31.7,0,17,0,0,243,182,Dinner,250,"high-protein,low-carb,gluten-free",All Year,Raw,Large
Chicken Breast Low-Carb (Small portion),Protein/Meat,120,25.9,0,2.6,0,0,183,125,Dinner,400,"high-protein,low-carb,gluten-free",Spring,Raw,Small
Grilled Chicken Salad with Avocado (Large portion),Meal/Protein,479,41,13.2,26.9,1.6,2.7,290,113,Lunch,300,"high-protein,gluten-free",Fall,Roasted,Large
Scrambled Eggs with Cheese (Extra Large portion),Protein/Dairy,137,9.2,1.6,11.9,0.3,0.6,55,111,Breakfast,300,"low-carb,gluten-free",All Year,Raw,Extra Large
Chicken Breast Italian Style (Extra Large portion),Protein/Meat,312,57.8,0,5.9,0,0,263,57,Dinner,350,"high-protein,low-carb,gluten-free",All Year,Boiled,Extra Large
Lentil Soup Mexican Style (Small portion),Meal/Legume,174,11.5,23.7,2.3,6.3,10.8,415,0,Lunch,400,gluten-free,All Year,Grilled,Small
